Column1,Column13,Column12,Column2,,
264.018,1,264.018,-281.251,,
264.127,1,264.127,-272.744,,
264.237,1,264.237,-261.527,,
264.346,1,264.346,-247.648,,
264.456,1,264.456,-233.557,,
264.566,1,264.566,-218.565,,
264.675,1,264.675,-202.799,,
264.785,1,264.785,-188.841,,
264.894,1,264.894,-178.019,,
265.004,1,265.004,-168.134,,
265.113,1,265.113,-159.05,,
265.223,1,265.223,-150.573,,
265.332,1,265.332,-142.918,,
265.442,1,265.442,-134.657,,
265.552,1,265.552,-127.765,,
265.661,1,265.661,-124.257,,
265.771,1,265.771,-121.152,,
265.88,1,265.88,-116.173,,
265.99,1,265.99,-109.972,,
266.099,1,266.099,-104.281,,
266.209,1,266.209,-99.713,,
266.318,1,266.318,-95.062,,
266.428,1,266.428,-88.355,,
266.538,1,266.538,-82.873,,
266.647,1,266.647,-77.533,,
266.757,1,266.757,-70.572,,
266.866,1,266.866,-60.86,,
266.976,1,266.976,-52.646,,
267.085,1,267.085,-46.033,,
267.195,1,267.195,-38.022,,
267.304,1,267.304,-31.39,,
267.414,1,267.414,-22.03,,
267.524,1,267.524,-14.146,,
267.633,1,267.633,-7.102,,
267.743,1,267.743,-1.401,,
267.852,1,267.852,2.694,,
267.962,1,267.962,8.828,,
268.071,1,268.071,16.033,,
268.181,1,268.181,20.607,,
268.29,1,268.29,23.025,,
268.4,1,268.4,24.58,,
268.51,1,268.51,25.588,,
268.619,1,268.619,27.183,,
268.729,1,268.729,29.17,,
268.838,1,268.838,29.777,,
268.948,1,268.948,29.342,,
269.057,1,269.057,28.121,,
269.167,1,269.167,27.64,,
269.276,1,269.276,29.637,,
269.386,1,269.386,33.01,,
269.496,1,269.496,36.884,,
269.605,1,269.605,39.642,,
269.715,1,269.715,39.956,,
269.824,1,269.824,40.942,,
269.934,1,269.934,43.445,,
270.043,1,270.043,47.083,,
270.153,1,270.153,50.593,,
270.262,1,270.262,53.748,,
270.372,1,270.372,59.144,,
270.481,1,270.481,65.429,,
270.591,1,270.591,70.826,,
270.701,1,270.701,73.819,,
270.81,1,270.81,73.991,,
270.92,1,270.92,71.83,,
271.029,1,271.029,70.351,,
271.139,1,271.139,69.877,,
271.248,1,271.248,69.05,,
271.358,1,271.358,67.854,,
271.467,1,271.467,65.855,,
271.577,1,271.577,65.423,,
271.687,1,271.687,67.011,,
271.796,1,271.796,71.567,,
271.906,1,271.906,79.063,,
272.015,1,272.015,85.678,,
272.125,1,272.125,91.948,,
272.234,1,272.234,97.724,,
272.344,1,272.344,102.967,,
272.453,1,272.453,106.94,,
272.563,1,272.563,111.901,,
272.673,1,272.673,117.193,,
272.782,1,272.782,119.787,,
272.892,1,272.892,121.47,,
273.001,1,273.001,122.882,,
273.111,1,273.111,124.706,,
273.22,1,273.22,126.974,,
273.33,1,273.33,129.572,,
273.439,1,273.439,130.158,,
273.549,1,273.549,130.022,,
273.659,1,273.659,131.864,,
273.768,1,273.768,134.521,,
273.878,1,273.878,137.611,,
273.987,1,273.987,140.576,,
274.097,1,274.097,141.86,,
274.206,1,274.206,143.015,,
274.316,1,274.316,143.749,,
274.425,1,274.425,142.745,,
274.535,1,274.535,140.152,,
274.645,1,274.645,138.942,,
274.754,1,274.754,137.463,,
274.864,1,274.864,134.317,,
274.973,1,274.973,127.326,,
275.083,1,275.083,119.006,,
275.192,1,275.192,110.113,,
275.302,1,275.302,102.662,,
