Column1,Column12,Column13,Column2
261.0352,1,261.0352,-1390.348
261.1447,1,261.1447,-1389.951
261.2542,1,261.2542,-1389.639
261.3637,1,261.3637,-1389.394
261.4732,1,261.4732,-1389.17
261.5827,1,261.5827,-1388.87
261.6922,1,261.6922,-1388.571
261.8017,1,261.8017,-1388.302
261.9112,1,261.9112,-1388.009
262.0207,1,262.0207,-1387.704
262.1302,1,262.1302,-1387.442
262.2397,1,262.2397,-1387.247
262.3492,1,262.3492,-1387.039
262.4587,1,262.4587,-1386.885
262.5682,1,262.5682,-1386.691
262.6777,1,262.6777,-1386.52
262.7872,1,262.7872,-1386.326
262.8967,1,262.8967,-1386.103
263.0062,1,263.0062,-1385.91
263.1157,1,263.1157,-1385.766
263.2252,1,263.2252,-1385.627
263.3347,1,263.3347,-1385.416
263.4442,1,263.4442,-1385.167
263.5537,1,263.5537,-1384.921
263.6632,1,263.6632,-1384.755
263.7727,1,263.7727,-1384.615
263.8822,1,263.8822,-1384.477
263.9917,1,263.9917,-1384.273
264.1012,1,264.1012,-1384.054
264.2107,1,264.2107,-1383.834
264.3202,1,264.3202,-1383.608
264.4297,1,264.4297,-1383.451
264.5392,1,264.5392,-1383.296
264.6487,1,264.6487,-1383.144
264.7582,1,264.7582,-1383.044
264.8677,1,264.8677,-1382.967
264.9772,1,264.9772,-1382.87
265.0867,1,265.0867,-1382.733
265.1962,1,265.1962,-1382.525
265.3057,1,265.3057,-1382.232
265.4152,1,265.4152,-1381.88
265.5247,1,265.5247,-1381.49
265.6342,1,265.6342,-1381.119
265.7437,1,265.7437,-1380.789
265.8532,1,265.8532,-1380.506
265.9627,1,265.9627,-1380.183
266.0722,1,266.0722,-1379.843
266.1817,1,266.1817,-1379.54
266.2912,1,266.2912,-1379.197
266.4007,1,266.4007,-1378.78
266.5102,1,266.5102,-1378.37
266.6197,1,266.6197,-1377.867
266.7292,1,266.7292,-1377.421
266.8387,1,266.8387,-1377
266.9482,1,266.9482,-1376.65
267.0577,1,267.0577,-1376.303
267.1672,1,267.1672,-1376.036
267.2767,1,267.2767,-1375.752
267.3862,1,267.3862,-1375.396
267.4957,1,267.4957,-1375.002
267.6052,1,267.6052,-1374.756
267.7147,1,267.7147,-1374.624
267.8242,1,267.8242,-1374.478
267.9337,1,267.9337,-1374.297
268.0432,1,268.0432,-1374.131
268.1527,1,268.1527,-1373.992
268.2622,1,268.2622,-1373.764
268.3717,1,268.3717,-1373.493
268.4812,1,268.4812,-1373.174
268.5907,1,268.5907,-1372.831
268.7002,1,268.7002,-1372.575
268.8097,1,268.8097,-1372.431
268.9192,1,268.9192,-1372.407
269.0287,1,269.0287,-1372.389
269.1382,1,269.1382,-1372.312
269.2477,1,269.2477,-1372.2
269.3572,1,269.3572,-1372.05
269.4667,1,269.4667,-1371.863
269.5762,1,269.5762,-1371.669
269.6857,1,269.6857,-1371.558
269.7952,1,269.7952,-1371.465
269.9047,1,269.9047,-1371.317
270.0142,1,270.0142,-1371.085
270.1237,1,270.1237,-1370.804
270.2332,1,270.2332,-1370.447
270.3427,1,270.3427,-1370.052
270.4522,1,270.4522,-1369.693
270.5617,1,270.5617,-1369.41
270.6712,1,270.6712,-1369.244
270.7807,1,270.7807,-1369.101
270.8902,1,270.8902,-1368.917
270.9997,1,270.9997,-1368.777
271.1092,1,271.1092,-1368.681
271.2187,1,271.2187,-1368.613
271.3282,1,271.3282,-1368.573
271.4377,1,271.4377,-1368.624
271.5472,1,271.5472,-1368.752
271.6567,1,271.6567,-1368.882
271.7662,1,271.7662,-1368.982
271.8757,1,271.8757,-1369.073
271.9852,1,271.9852,-1369.178
272.0947,1,272.0947,-1369.276
272.2042,1,272.2042,-1369.382
272.3137,1,272.3137,-1369.525
272.4232,1,272.4232,-1369.704
272.5327,1,272.5327,-1369.893
272.6422,1,272.6422,-1370.031
272.7517,1,272.7517,-1370.092
272.8612,1,272.8612,-1370.116
272.9707,1,272.9707,-1370.159
273.0802,1,273.0802,-1370.212
273.1897,1,273.1897,-1370.272
273.2992,1,273.2992,-1370.374
273.4087,1,273.4087,-1370.494
273.5182,1,273.5182,-1370.588
273.6277,1,273.6277,-1370.684
273.7372,1,273.7372,-1370.773
273.8467,1,273.8467,-1370.896
273.9562,1,273.9562,-1371.015
274.0657,1,274.0657,-1371.18
274.1752,1,274.1752,-1371.371
274.2847,1,274.2847,-1371.661
274.3942,1,274.3942,-1372.071
274.5037,1,274.5037,-1372.449
274.6132,1,274.6132,-1372.854
274.7227,1,274.7227,-1373.329
274.8322,1,274.8322,-1373.772
274.9417,1,274.9417,-1374.176
275.0512,1,275.0512,-1374.537
275.1607,1,275.1607,-1375.008
275.2702,1,275.2702,-1375.491
275.3797,1,275.3797,-1375.901
275.4892,1,275.4892,-1376.257
275.5987,1,275.5987,-1376.589
275.7082,1,275.7082,-1376.975
275.8177,1,275.8177,-1377.362
275.9272,1,275.9272,-1377.744
276.0367,1,276.0367,-1378.183
276.1462,1,276.1462,-1378.694
276.2557,1,276.2557,-1379.138
276.3652,1,276.3652,-1379.622
276.4747,1,276.4747,-1380.041
276.5842,1,276.5842,-1380.445
276.6937,1,276.6937,-1380.921
276.8032,1,276.8032,-1381.459
276.9127,1,276.9127,-1382.047
277.0222,1,277.0222,-1382.57
277.1317,1,277.1317,-1383.194
277.2412,1,277.2412,-1383.813
277.3507,1,277.3507,-1384.48
277.4602,1,277.4602,-1385.198
277.5697,1,277.5697,-1385.841
277.6792,1,277.6792,-1386.439
277.7887,1,277.7887,-1387.003
277.8982,1,277.8982,-1387.492
278.0077,1,278.0077,-1387.957
278.1172,1,278.1172,-1388.467
278.2267,1,278.2267,-1389.017
278.3362,1,278.3362,-1389.531
278.4457,1,278.4457,-1390.035
278.5552,1,278.5552,-1390.592
278.6647,1,278.6647,-1391.128
278.7742,1,278.7742,-1391.719
278.8837,1,278.8837,-1392.316
278.9932,1,278.9932,-1392.986
279.1027,1,279.1027,-1393.707
279.2122,1,279.2122,-1394.459
279.3217,1,279.3217,-1395.276
279.4312,1,279.4312,-1396.076
279.5407,1,279.5407,-1396.865
279.6502,1,279.6502,-1397.646
279.7597,1,279.7597,-1398.437
279.8692,1,279.8692,-1399.215
279.9787,1,279.9787,-1399.977
280.0882,1,280.0882,-1400.764
280.1977,1,280.1977,-1401.551
280.3072,1,280.3072,-1402.29
280.4167,1,280.4167,-1403.105
280.5262,1,280.5262,-1403.97
280.6357,1,280.6357,-1404.845
280.7452,1,280.7452,-1405.585
280.8547,1,280.8547,-1406.166
280.9642,1,280.9642,-1406.666
281.0737,1,281.0737,-1407.26
281.1832,1,281.1832,-1407.976
281.2927,1,281.2927,-1408.766
281.4022,1,281.4022,-1409.59
281.5117,1,281.5117,-1410.376
281.6212,1,281.6212,-1411.178
281.7307,1,281.7307,-1411.926
281.8402,1,281.8402,-1412.536
281.9497,1,281.9497,-1413.039
282.0592,1,282.0592,-1413.606
282.1687,1,282.1687,-1414.245
282.2782,1,282.2782,-1414.85
282.3877,1,282.3877,-1415.458
282.4972,1,282.4972,-1416.066
282.6067,1,282.6067,-1416.638
282.7162,1,282.7162,-1417.095
282.8257,1,282.8257,-1417.486
282.9352,1,282.9352,-1417.877
283.0447,1,283.0447,-1418.271
283.1542,1,283.1542,-1418.663
283.2637,1,283.2637,-1419.127
283.3732,1,283.3732,-1419.556
283.4827,1,283.4827,-1419.977
283.5922,1,283.5922,-1420.312
283.7017,1,283.7017,-1420.627
283.8112,1,283.8112,-1420.923
283.9207,1,283.9207,-1421.128
284.0302,1,284.0302,-1421.245
284.1397,1,284.1397,-1421.329
